location,date,total_cases,new_cases,total_deaths,new_deaths,icu_patients,hosp_patients,weekly_icu_admissions,weekly_hosp_admissions,new_tests,total_tests,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,population
Canada,1/26/2020,1,1,,,,,,,,,,,,,,,,38067913
Canada,1/27/2020,1,0,,,,,,,,,,,,,,,,38067913
Canada,1/28/2020,2,1,,,,,,,,,,,,,,,,38067913
Canada,1/29/2020,2,0,,,,,,,,,,,,,,,,38067913
Canada,1/30/2020,2,0,,,,,,,,,,,,,,,,38067913
Canada,1/31/2020,4,2,,,,,,,,0,,,,,,,,38067913
Canada,2/1/2020,4,0,,,,,,,,,,,,,,,,38067913
Canada,2/2/2020,4,0,,,,,,,,,,,,,,,,38067913
Canada,2/3/2020,4,0,,,,,,,,,,,,,,,,38067913
Canada,2/4/2020,4,0,,,,,,,,,,,,,,,,38067913
Canada,2/5/2020,5,1,,,,,,,,,,,,,,,,38067913
Canada,2/6/2020,5,0,,,,,,,,,,,,,,,,38067913
Canada,2/7/2020,7,2,,,,,,,,,0.0536,18.6,,,,,,38067913
Canada,2/8/2020,7,0,,,,,,,,63,0.0536,18.6,,,,,,38067913
Canada,2/9/2020,7,0,,,,,,,,,0.0536,18.6,,,,,,38067913
Canada,2/10/2020,7,0,,,,,,,,,0.0613,16.3,,,,,,38067913
Canada,2/11/2020,7,0,,,,,,,,,0.0613,16.3,,,,,,38067913
Canada,2/12/2020,7,0,,,,,,,,,0.0409,24.5,,,,,,38067913
Canada,2/13/2020,7,0,,,,,,,,,0.0477,21,,,,,,38067913
Canada,2/14/2020,7,0,,,,,,,,,0,,,,,,,38067913
Canada,2/15/2020,7,0,,,,,,,,,0,,,,,,,38067913
Canada,2/16/2020,7,0,,,,,,,,109,0,,,,,,,38067913
Canada,2/17/2020,8,1,,,,,,,,,0.0204,49,,,,,,38067913
Canada,2/18/2020,8,0,,,,,,,,,0.0204,49,,,,,,38067913
Canada,2/19/2020,8,0,,,,,,,,,0.0179,55.9,,,,,,38067913
Canada,2/20/2020,8,0,,,,,,,,,0.0159,62.9,,,,,,38067913
Canada,2/21/2020,9,1,,,,,,,,166,0.0286,35,,,,,,38067913
Canada,2/22/2020,9,0,,,,,,,,,0.026,38.5,,,,,,38067913
Canada,2/23/2020,9,0,,,,,,,,,0.022,45.5,,,,,,38067913
Canada,2/24/2020,10,1,,,,,,,,212,0.022,45.5,,,,,,38067913
Canada,2/25/2020,12,2,,,,,,,18,230,0.0408,24.5,,,,,,38067913
Canada,2/26/2020,12,0,,,,,,,62,292,0.0272,36.8,,,,,,38067913
Canada,2/27/2020,14,2,,,,,,,77,369,0.0276,36.2,,,,,,38067913
Canada,2/28/2020,15,1,,,,,,,,,0.022,45.5,,,,,,38067913
Canada,2/29/2020,21,6,,,,,,,,510,0.0365,27.4,,,,,,38067913
Canada,3/1/2020,26,5,,,,,,,125,635,0.0386,25.9,,,,,,38067913
Canada,3/2/2020,32,6,,,,,,,,,0.0469,21.3,,,,,,38067913
Canada,3/3/2020,37,5,,,,,,,,733,0.0496,20.2,,,,,,38067913
Canada,3/4/2020,42,5,,,,,,,,,0.0482,20.8,,,,,,38067913
Canada,3/5/2020,46,4,,,,,,,,1099,0.044,22.8,,,,,,38067913
Canada,3/6/2020,60,14,,,,,,,296,1395,0.0473,21.2,,,,,,38067913
Canada,3/7/2020,64,4,,,,,,,372,1767,0.0341,29.3,,,,,,38067913
Canada,3/8/2020,74,10,,,,,,,932,2699,0.0232,43,,,,,,38067913
Canada,3/9/2020,88,14,1,1,0,4,,,832,3531,0.0197,50.9,,,,,,38067913
Canada,3/10/2020,92,4,1,0,0,5,,,,,0.0159,62.9,,,,,,38067913
Canada,3/11/2020,127,35,1,0,0,5,,,,4846,0.0216,46.2,,,,,,38067913
Canada,3/12/2020,141,14,1,0,0,5,,,1893,6739,0.0168,59.4,,,,,,38067913
Canada,3/13/2020,213,72,1,0,1,7,,,3150,9889,0.018,55.5,,,,,,38067913
Canada,3/14/2020,236,23,1,0,2,9,,,3320,13209,0.015,66.5,,,,,,38067913
Canada,3/15/2020,296,60,1,0,2,9,,,4148,17357,0.0151,66,,,,,,38067913
Canada,3/16/2020,450,154,4,3,2,17,,,4519,21876,0.0197,50.7,,,,,,38067913
Canada,3/17/2020,532,82,6,2,6,22,,,5031,26907,0.0194,51.6,,,,,,38067913
Canada,3/18/2020,732,200,11,5,14,31,,,7286,34193,0.0206,48.5,,,,,,38067913
Canada,3/19/2020,921,189,11,0,16,42,,,8608,42801,0.0216,46.2,,,,,,38067913
Canada,3/20/2020,1175,254,15,4,24,52,,,7267,50068,0.0239,41.8,,,,,,38067913
Canada,3/21/2020,1653,478,19,4,31,68,,,8127,58195,0.0315,31.7,,,,,,38067913
Canada,3/22/2020,2045,392,22,3,35,76,,,10535,68730,0.034,29.4,,,,,,38067913
Canada,3/23/2020,2600,555,29,7,44,103,,,11147,79877,0.0371,27,,,,,,38067913
Canada,3/24/2020,3185,585,34,5,64,153,,,10591,90468,0.0417,24,,,,,,38067913
Canada,3/25/2020,3697,512,47,13,72,176,,,11070,101538,0.044,22.7,,,,,,38067913
Canada,3/26/2020,4550,853,59,12,82,216,,,10911,112449,0.0521,19.2,,,,,,38067913
Canada,3/27/2020,5257,707,66,7,89,260,,,12217,124666,0.0547,18.3,,,,,,38067913
Canada,3/28/2020,6085,828,83,17,125,294,,,12487,137153,0.0561,17.8,,,,,,38067913
Canada,3/29/2020,6993,908,98,15,142,329,,,15442,152595,0.059,16.9,,,,,,38067913
Canada,3/30/2020,8140,1147,117,19,157,406,,,12123,164718,0.0653,15.3,,,,,,38067913
Canada,3/31/2020,9246,1106,152,35,165,482,,,13600,178318,0.069,14.5,,,,,,38067913
Canada,4/1/2020,10527,1281,175,23,174,526,,,14021,192339,0.0752,13.3,,,,,,38067913
Canada,4/2/2020,12219,1692,224,49,362,993,,,16421,208760,0.0796,12.6,,,,,,38067913
Canada,4/3/2020,13559,1340,277,53,397,1129,,,14858,223618,0.0839,11.9,,,,,,38067913
Canada,4/4/2020,14917,1358,360,83,424,1216,,,15061,238679,0.087,11.5,,,,,,38067913
Canada,4/5/2020,16159,1242,435,75,455,1272,,,12492,251171,0.093,10.8,,,,,,38067913
Canada,4/6/2020,17525,1366,502,67,486,1351,,,10808,261979,0.0965,10.4,,,,,,38067913
Canada,4/7/2020,18858,1333,580,78,505,1430,,,7846,269825,0.105,9.5,,,,,,38067913
Canada,4/8/2020,20165,1307,669,89,523,1467,,,8727,278552,0.1118,8.9,,,,,,38067913
Canada,4/9/2020,21540,1375,772,103,561,1538,,,10827,289379,0.1156,8.6,,,,,,38067913
Canada,4/10/2020,22777,1237,867,95,542,1629,,,10632,300011,0.1207,8.3,,,,,,38067913
Canada,4/11/2020,24084,1307,986,119,561,1696,,,12410,312421,0.1243,8,,,,,,38067913
Canada,4/12/2020,25303,1219,1095,109,570,1792,,,12065,324486,0.1247,8,,,,,,38067913
Canada,4/13/2020,26937,1634,1225,130,576,1872,,,11429,335915,0.1273,7.9,,,,,,38067913
Canada,4/14/2020,28564,1627,1361,136,571,1936,,,11169,347084,0.1256,8,,,,,,38067913
Canada,4/15/2020,30223,1659,1515,154,560,2006,,,12607,359691,0.124,8.1,,,,,,38067913
Canada,4/16/2020,31911,1688,1651,136,540,2048,,,12531,372222,0.1252,8,,,,,,38067913
Canada,4/17/2020,33945,2034,1798,147,534,2131,,,13897,386119,0.1297,7.7,,,,,,38067913
Canada,4/18/2020,35355,1410,1937,139,592,2182,,,13643,399762,0.129,7.7,,,,,,38067913
Canada,4/19/2020,37043,1688,2107,170,516,2132,,,15916,415678,0.1287,7.8,,,,,,38067913
Canada,4/20/2020,38712,1669,2251,144,527,2188,,,23005,438683,0.1146,8.7,,,,,,38067913
Canada,4/21/2020,40354,1642,2412,161,531,2305,,,21372,460055,0.1044,9.6,,,,,,38067913
Canada,4/22/2020,42168,1814,2576,164,518,2369,,,21125,481180,0.0983,10.2,,,,,,38067913
Canada,4/23/2020,44121,1953,2757,181,513,2517,,,24192,505372,0.0917,10.9,,,,,,38067913
Canada,4/24/2020,45976,1855,2931,174,540,2582,,,24979,530351,0.0834,12,,,,,,38067913
Canada,4/25/2020,47553,1577,3112,181,533,2649,,,28763,559114,0.0765,13.1,,,,,,38067913
Canada,4/26/2020,48866,1313,3249,137,536,2676,,,26967,586081,0.0694,14.4,,,,,,38067913
Canada,4/27/2020,50507,1641,3428,179,516,2713,,,27518,613599,0.0674,14.8,,,,,,38067913
Canada,4/28/2020,52178,1671,3635,207,521,2807,,,26977,640576,0.0655,15.3,,,,,,38067913
Canada,4/29/2020,53811,1633,3843,208,522,2847,,,23754,664330,0.0636,15.7,,,,,,38067913
Canada,4/30/2020,55508,1697,4055,212,506,2903,,,27778,692108,0.061,16.4,,,,,,38067913
Canada,5/1/2020,57277,1769,4236,181,514,2953,,,30676,722784,0.0587,17,,,,,,38067913
Canada,5/2/2020,58821,1544,4412,176,510,2926,,,34244,757028,0.0569,17.6,,,,,,38067913
Canada,5/3/2020,60162,1341,4558,146,514,2974,,,32322,789350,0.0556,18,,,,,,38067913
Canada,5/4/2020,61569,1407,4764,206,510,2969,,,34119,823469,0.0527,19,,,,,,38067913
Canada,5/5/2020,62942,1373,4936,172,511,3078,,,28573,852042,0.0509,19.6,,,,,,38067913
Canada,5/6/2020,64515,1573,5108,172,501,3083,,,22013,874055,0.051,19.6,,,,,,38067913
Canada,5/7/2020,65879,1364,5256,148,506,3078,,,27953,902008,0.0494,20.2,,,,,,38067913
Canada,5/8/2020,67257,1378,5414,158,484,3070,,,31518,933526,0.0474,21.1,,,,,,38067913
Canada,5/9/2020,68441,1184,5576,162,470,3054,,,33547,967073,0.0458,21.8,,,,,,38067913
Canada,5/10/2020,69505,1064,5704,128,457,2987,,,36299,1003372,0.0437,22.9,,,,,,38067913
Canada,5/11/2020,70615,1110,5836,132,449,3057,,,34030,1037402,0.0423,23.6,,,,,,38067913
Canada,5/12/2020,71832,1217,5979,143,435,3056,,,27720,1065122,0.0417,24,,,,,,38067913
Canada,5/13/2020,73027,1195,6091,112,436,3079,,,24113,1089235,0.0396,25.3,,,,,,38067913
Canada,5/14/2020,74144,1117,6213,122,422,3041,,,31373,1120608,0.0378,26.4,,,,,,38067913
Canada,5/15/2020,75355,1211,6337,124,417,2975,,,35209,1155817,0.0364,27.5,,,,,,38067913
Canada,5/16/2020,76539,1184,6452,115,404,2899,,,37572,1193389,0.0358,27.9,,,,,,38067913
Canada,5/17/2020,77671,1132,6542,90,399,2856,,,37854,1231243,0.0358,27.9,,,,,,38067913
Canada,5/18/2020,78704,1033,6637,95,398,2896,,,35079,1266322,0.0353,28.3,,,,,,38067913
Canada,5/19/2020,79812,1108,6714,77,402,2678,,,23938,1290260,0.0354,28.2,,,,,,38067913
Canada,5/20/2020,81065,1253,6832,118,394,2654,,,18688,1308948,0.0366,27.3,,,,,,38067913
Canada,5/21/2020,82242,1177,6933,101,380,2637,,,21531,1330479,0.0386,25.9,,,,,,38067913
Canada,5/22/2020,83357,1115,7036,103,369,2585,,,28043,1358522,0.0395,25.3,,,,,,38067913
Canada,5/23/2020,84303,946,7129,93,364,2504,,,31011,1389533,0.0396,25.3,,,,,,38067913
Canada,5/24/2020,85352,1049,7218,89,368,2448,,,31265,1420798,0.0405,24.7,,,,,,38067913
Canada,5/25/2020,86299,947,7312,94,375,2415,,,31498,1452296,0.0408,24.5,,,,,,38067913
Canada,5/26/2020,87069,770,7400,88,371,2381,,,25700,1477996,0.0387,25.9,,,,,,38067913
Canada,5/27/2020,87920,851,7497,97,376,2354,,,23090,1501086,0.0357,28,,,,,,38067913
Canada,5/28/2020,88765,845,7614,117,358,2292,,,32776,1533862,0.0321,31.2,,,,,,38067913
Canada,5/29/2020,89564,799,7714,100,349,2223,,,38885,1572747,0.029,34.5,,,,,,38067913
Canada,5/30/2020,90315,751,7772,58,336,2137,,,40316,1613063,0.0269,37.2,,,,,,38067913
Canada,5/31/2020,90957,642,7828,56,342,2116,,,42054,1655117,0.0239,41.8,,,,,,38067913
Canada,6/1/2020,91748,791,7875,47,340,2099,,,38455,1693572,0.0226,44.3,,,,,,38067913
Canada,6/2/2020,92441,693,7926,51,340,2107,,,31463,1725035,0.0217,46,,,,,,38067913
Canada,6/3/2020,93102,661,7982,56,333,2063,,,29526,1754561,0.0204,48.9,,,,,,38067913
Canada,6/4/2020,93740,638,8047,65,314,1972,,,35691,1790252,0.0194,51.5,,,,,,38067913
Canada,6/5/2020,94337,597,8092,45,296,1891,,,41195,1831447,0.0185,54.2,,,,,,38067913
Canada,6/6/2020,95079,742,8152,60,290,1763,,,42422,1873869,0.0183,54.7,,,,,,38067913
Canada,6/7/2020,95685,606,8193,41,285,1716,,,44243,1918112,0.018,55.6,,,,,,38067913
Canada,6/8/2020,96150,465,8239,46,278,1689,,,38124,1956236,0.0168,59.7,,,,,,38067913
Canada,6/9/2020,96586,436,8275,36,273,1668,,,29988,1986224,0.0159,63,,,,,,38067913
Canada,6/10/2020,97074,488,8305,30,277,1596,,,27409,2013633,0.0153,65.2,,,,,,38067913
Canada,6/11/2020,97489,415,8337,32,274,1515,,,39165,2052798,0.0143,70,,,,,,38067913
Canada,6/12/2020,97896,407,8367,30,260,1479,,,44128,2096926,0.0134,74.6,,,,,,38067913
Canada,6/13/2020,98326,430,8395,28,252,1395,,,49817,2146743,0.0119,84,,,,,,38067913
Canada,6/14/2020,98669,343,8418,23,227,1317,,,47498,2194241,0.0108,92.5,,,,,,38067913
Canada,6/15/2020,99039,370,8445,27,227,1304,,,42478,2236719,0.0103,97.1,,,,,,38067913
Canada,6/16/2020,99401,362,8464,19,220,1246,,,37620,2274339,0.0098,102.3,,,,,,38067913
Canada,6/17/2020,99791,390,8485,21,208,1186,,,36663,2311002,0.0091,109.4,,,,,,38067913
Canada,6/18/2020,100173,382,8495,10,193,1097,,,43975,2354977,0.0089,112.6,,,,,,38067913
Canada,6/19/2020,100548,375,8519,24,186,1019,,,47073,2402050,0.0087,115.1,,,,,,38067913
Canada,6/20/2020,100909,361,8554,35,188,972,,,50329,2452379,0.0085,118.3,,,,,,38067913
Canada,6/21/2020,101216,307,8575,21,193,912,,,48129,2500508,0.0083,120.2,,,,,,38067913
Canada,6/22/2020,101532,316,8589,14,177,891,,,43795,2544303,0.0081,123.4,,,,,,38067913
Canada,6/23/2020,101903,371,8613,24,178,912,,,37206,2581509,0.0081,122.8,,,,,,38067913
Canada,6/24/2020,102218,315,8641,28,170,886,,,31248,2612757,0.008,124.3,,,,,,38067913
Canada,6/25/2020,102546,328,8661,20,165,869,,,41658,2654415,0.0079,126.2,,,,,,38067913
Canada,6/26/2020,102803,257,8668,7,156,846,,,47174,2701589,0.0075,132.8,,,,,,38067913
Canada,6/27/2020,103129,326,8680,12,148,818,,,48785,2750374,0.0074,134.2,,,,,,38067913
Canada,6/28/2020,103405,276,8690,10,144,774,,,53518,2803892,0.0072,138.6,,,,,,38067913
Canada,6/29/2020,103820,415,8707,17,143,792,,,47749,2851641,0.0074,134.3,,,,,,38067913
Canada,6/30/2020,104136,316,8722,15,128,756,,,42926,2894567,0.0071,140.2,,,,,,38067913
Canada,7/1/2020,104358,222,8732,10,120,740,,,39588,2934155,0.0067,150.2,,,,,,38067913
Canada,7/2/2020,104711,353,8749,17,119,635,,,45262,2979417,0.0067,150.1,,,,,,38067913
Canada,7/3/2020,105031,320,8755,6,117,649,,,44515,3023932,0.0069,144.7,,,,,,38067913
Canada,7/4/2020,105247,216,8764,9,110,632,,,41339,3065271,0.0067,148.7,,,,,,38067913
Canada,7/5/2020,105444,197,8769,5,105,615,,,39247,3104518,0.0068,147.4,,,,,,38067913
Canada,7/6/2020,105837,393,8782,13,100,597,,,40586,3145104,0.0069,145.5,,,,,,38067913
Canada,7/7/2020,106116,279,8790,8,97,582,,,32124,3177228,0.007,142.8,,,,,,38067913
Canada,7/8/2020,106401,285,8807,17,98,556,,,30869,3208097,0.0075,134.1,,,,,,38067913
Canada,7/9/2020,106765,364,8818,11,97,526,,,42052,3250149,0.0076,131.8,,,,,,38067913
Canada,7/10/2020,107098,333,8829,11,99,527,,,48749,3298898,0.0075,133,,,,,,38067913
Canada,7/11/2020,107329,231,8838,9,93,529,,,52860,3351758,0.0073,137.6,,,,,,38067913
Canada,7/12/2020,107534,205,8842,4,93,514,,,53483,3405241,0.0069,143.9,,,,,,38067913
Canada,7/13/2020,108074,540,8850,8,94,499,,,51819,3457060,0.0072,139.5,,,,,,38067913
Canada,7/14/2020,108488,414,8854,4,96,530,,,40591,3497651,0.0074,135.1,,,,,,38067913
Canada,7/15/2020,108847,359,8868,14,89,503,,,35044,3532695,0.0075,132.7,,,,,,38067913
Canada,7/16/2020,109280,433,8879,11,84,491,,,47425,3580120,0.0076,131.2,,,,,,38067913
Canada,7/17/2020,109740,460,8892,13,87,483,,,54778,3634898,0.0079,127.2,,,,,,38067913
Canada,7/18/2020,110100,360,8896,4,88,470,,,58464,3693362,0.0081,123.3,,,,,,38067913
Canada,7/19/2020,110401,301,8900,4,91,477,,,60245,3753607,0.0082,121.5,,,,,,38067913
Canada,7/20/2020,111168,767,8904,4,97,488,,,54519,3808126,0.0088,113.5,,,,,,38067913
Canada,7/21/2020,111711,543,8909,5,93,496,,,44000,3852126,0.0091,110,,,,,,38067913
Canada,7/22/2020,112119,408,8914,5,98,496,,,46001,3898127,0.009,111.7,,,,,,38067913
Canada,7/23/2020,112768,649,8922,8,98,511,,,52898,3951025,0.0094,106.3,,,,,,38067913
Canada,7/24/2020,113272,504,8928,6,90,484,,,57147,4008172,0.0095,105.7,,,,,,38067913
Canada,7/25/2020,113640,368,8931,3,84,425,,,61865,4070037,0.0094,106.4,,,,,,38067913
Canada,7/26/2020,113973,333,8935,4,81,398,,,62102,4132139,0.0094,106,,,,,,38067913
Canada,7/27/2020,114603,630,8948,13,80,401,,,55876,4188015,0.009,110.6,,,,,,38067913
Canada,7/28/2020,114961,358,8957,9,80,412,,,49243,4237258,0.0084,118.5,,,,,,38067913
Canada,7/29/2020,115438,477,8962,5,80,403,,,42054,4279312,0.0087,114.8,,,,,,38067913
Canada,7/30/2020,115862,424,8975,13,86,411,,,56435,4335747,0.008,124.3,,,,,,38067913
Canada,7/31/2020,116328,466,8981,6,86,379,,,62361,4398108,0.0078,127.6,,,,,,38067913
Canada,8/1/2020,116599,271,8985,4,87,366,,,62713,4460821,0.0076,132.1,,,,,,38067913
Canada,8/2/2020,116835,236,8988,3,90,358,,,68348,4529169,0.0072,138.7,,,,,,38067913
Canada,8/3/2020,117091,256,8988,0,89,359,,,61233,4590402,0.0062,161.7,,,,,,38067913
Canada,8/4/2020,117791,700,8997,9,99,363,,,45348,4635750,0.0071,140.8,,,,,,38067913
Canada,8/5/2020,118156,365,9002,5,99,341,,,42199,4677949,0.0068,146.7,,,,,,38067913
Canada,8/6/2020,118489,333,9009,7,92,346,,,45988,4723937,0.0068,147.8,,,,,,38067913
Canada,8/7/2020,118933,444,9014,5,86,328,,,57076,4781013,0.0068,147,,,,,,38067913
Canada,8/8/2020,119157,224,9017,3,90,314,,,58787,4839800,0.0067,148.2,,,,,,38067913
Canada,8/9/2020,119380,223,9021,4,90,311,,,58983,4898783,0.0069,145.2,,,,,,38067913
Canada,8/10/2020,120005,625,9028,7,83,302,,,59787,4958570,0.0079,126.3,,,,,,38067913
Canada,8/11/2020,120303,298,9034,6,82,286,,,47111,5005681,0.0068,147.3,,,,,,38067913
Canada,8/12/2020,120636,333,9039,5,79,273,,,44140,5049821,0.0067,149.9,,,,,,38067913
Canada,8/13/2020,121105,469,9044,5,78,268,,,55004,5104825,0.0069,145.6,,,,,,38067913
Canada,8/14/2020,121511,406,9048,4,78,271,,,63054,5167879,0.0067,150.1,,,,,,38067913
Canada,8/15/2020,121734,223,9054,6,79,265,,,64422,5232301,0.0066,152.3,,,,,,38067913
Canada,8/16/2020,121909,175,9059,5,79,263,,,65906,5298207,0.0063,157.9,,,,,,38067913
Canada,8/17/2020,122094,185,9061,2,73,245,,,53727,5351934,0.0053,188.3,,,,,,38067913
Canada,8/18/2020,123006,912,9074,13,73,256,,,50446,5402380,0.0068,146.8,,,,,,38067913
Canada,8/19/2020,123351,345,9079,5,74,259,,,48193,5450573,0.0068,147.6,,,,,,38067913
Canada,8/20/2020,123570,219,9082,3,74,247,,,57174,5507747,0.0061,163.5,,,,,,38067913
Canada,8/21/2020,124265,695,9096,14,68,238,,,60688,5568435,0.0069,145.4,,,,,,38067913
Canada,8/22/2020,124490,225,9097,1,60,232,,,64322,5632757,0.0069,145.3,,,,,,38067913
Canada,8/23/2020,124759,269,9101,4,54,226,,,61588,5694345,0.0072,139,,,,,,38067913
Canada,8/24/2020,125485,726,9109,8,54,229,,,54979,5749324,0.0085,117.2,,,,,,38067913
Canada,8/25/2020,125844,359,9114,5,54,236,,,42669,5791993,0.0073,137.3,,,,,,38067913
Canada,8/26/2020,126276,432,9118,4,53,233,,,43271,5835264,0.0076,131.5,,,,,,38067913
Canada,8/27/2020,126718,442,9123,5,58,243,,,54659,5889923,0.0082,121.4,,,,,,38067913
Canada,8/28/2020,127269,551,9135,12,59,253,,,62785,5952708,0.0078,127.9,,,,,,38067913
Canada,8/29/2020,127620,351,9137,2,62,243,,,68569,6021277,0.0081,124.1,,,,,,38067913
Canada,8/30/2020,127881,261,9139,2,63,242,,,67635,6088912,0.0079,126.4,,,,,,38067913
Canada,8/31/2020,128879,998,9147,8,67,247,,,57922,6146834,0.0085,117.1,,,,,,38067913
Canada,9/1/2020,129388,509,9151,4,72,273,,,54958,6201792,0.0086,115.6,,,,,,38067913
Canada,9/2/2020,129938,550,9153,2,66,268,,,48470,6250262,0.0088,113.3,,,,,,38067913
Canada,9/3/2020,130548,610,9158,5,62,254,,,58395,6308657,0.0091,109.3,,,,,,38067913
Canada,9/4/2020,131179,631,9158,0,65,260,,,62390,6371047,0.0093,107,,,,,,38067913
Canada,9/5/2020,131571,392,9159,1,64,245,,,69031,6440078,0.0094,106,,,,,,38067913
Canada,9/6/2020,131960,389,9161,2,66,246,,,69211,6509289,0.0097,103.1,,,,,,38067913
Canada,9/7/2020,132372,412,9163,2,67,252,,,66111,6575400,0.0082,122.7,,,,,,38067913
Canada,9/8/2020,133817,1445,9170,7,66,250,,,57175,6632575,0.0103,97.3,,,,,,38067913
Canada,9/9/2020,134237,420,9174,4,64,263,,,53711,6686286,0.0099,101.4,,,,,,38067913
Canada,9/10/2020,135137,900,9182,8,59,270,,,51341,6737627,0.0107,93.5,,,,,,38067913
Canada,9/11/2020,135926,789,9181,-1,57,276,,,65755,6803382,0.011,91.1,,,,,,38067913
Canada,9/12/2020,136492,566,9184,3,54,273,,,79517,6882899,0.0111,90,,,,,,38067913
Canada,9/13/2020,137047,555,9188,4,58,270,,,83265,6966164,0.0111,89.8,,,,,,38067913
Canada,9/14/2020,138399,1352,9200,12,69,281,,,82557,7048721,0.0127,78.5,,,,,,38067913
Canada,9/15/2020,139221,822,9207,7,79,298,,,72665,7121386,0.0111,90.5,,,,,,38067913
Canada,9/16/2020,140165,944,9212,5,86,285,,,68225,7189611,0.0118,84.9,,,,,,38067913
Canada,9/17/2020,141137,972,9219,7,89,302,,,76003,7265614,0.0114,88,,,,,,38067913
Canada,9/18/2020,142371,1234,9229,10,88,313,,,92661,7358275,0.0116,86.1,,,,,,38067913
Canada,9/19/2020,143304,933,9236,7,91,318,,,85660,7443935,0.0121,82.4,,,,,,38067913
Canada,9/20/2020,144220,916,9239,3,93,325,,,96527,7540462,0.0125,80.1,,,,,,38067913
Canada,9/21/2020,145878,1658,9250,11,93,342,,,88739,7629201,0.0129,77.6,,,,,,38067913
Canada,9/22/2020,147159,1281,9258,8,93,380,,,81977,7711178,0.0135,74.3,,,,,,38067913
Canada,9/23/2020,148466,1307,9267,9,98,408,,,78859,7790037,0.0138,72.3,,,,,,38067913
Canada,9/24/2020,149803,1337,9276,9,105,411,,,85612,7875649,0.0142,70.4,,,,,,38067913
Canada,9/25/2020,151419,1616,9283,7,104,426,,,85540,7961189,0.015,66.6,,,,,,38067913
Canada,9/26/2020,152849,1430,9288,5,119,456,,,104773,8065962,0.0153,65.2,,,,,,38067913
Canada,9/27/2020,154257,1408,9294,6,115,467,,,101553,8167515,0.016,62.5,,,,,,38067913
Canada,9/28/2020,156592,2335,9311,17,117,494,,,103095,8270610,0.0167,59.9,,,,,,38067913
Canada,9/29/2020,158411,1819,9325,14,117,539,,,89729,8360339,0.0173,57.7,,,,,,38067913
Canada,9/30/2020,160387,1976,9343,18,125,571,,,85682,8446021,0.0182,55,,,,,,38067913
Canada,10/1/2020,162188,1801,9359,16,126,593,,,95567,8541588,0.0186,53.8,,,,,,38067913
Canada,10/2/2020,164429,2241,9449,90,132,621,,,101966,8643554,0.0191,52.4,,,,,,38067913
